epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1052,0.90929,3.84691,1.00412,0.0015,1,0.88636,0.62157,0.88719,3.93858,0.82423,0.00028,0.00028,0.00028
2,18.0638,0.87476,2.34244,0.97085,0.00151,1,0.03296,0.02016,1.06003,4.28946,1.0389,0.000577129,0.000577129,0.000577129
3,20.4675,0.92072,2.13291,1.02785,0.00151,1,0.00637,0.00488,0.89093,4.11208,0.99718,0.000871288,0.000871288,0.000871288
4,22.9623,0.98215,2.12391,1.04747,0.0015,1,0.00373,0.00247,1.05476,4.36035,1.0669,0.00116248,0.00116248,0.00116248
5,25.2635,0.95734,1.89202,1.05104,0,0,0,0,5.58664,66.8764,41.9359,0.0014507,0.0014507,0.0014507
6,27.727,1.08336,2.01494,1.09783,0.00177,0.19444,0.00104,0.00013,3.85676,1228.54,14.055,0.00173595,0.00173595,0.00173595
7,30.1557,0.95533,1.86808,1.04069,0.00737,0.36111,0.00745,0.003,2.18599,16.7217,2.26025,0.0019406,0.0019406,0.0019406
8,32.5355,0.9672,1.59776,1.06873,0.00189,0.72222,0.00154,0.00066,1.92802,653.965,2.74545,0.0019307,0.0019307,0.0019307
9,34.9475,0.94012,1.43015,1.0398,0.00417,0.25,0.00292,0.00123,2.20554,41.2933,2.32682,0.0019208,0.0019208,0.0019208
10,37.0474,0.89477,1.24231,1.01858,0.00409,0.44444,0.0028,0.00137,1.75472,149.526,1.86619,0.0019109,0.0019109,0.0019109
11,39.1683,0.862,1.147,1.0019,0.98351,0.44444,0.45069,0.31053,1.36077,4.49022,1.34493,0.001901,0.001901,0.001901
12,41.198,0.94354,1.14635,1.02821,1,0.96557,0.99395,0.7223,1.05684,1.41535,1.14041,0.0018911,0.0018911,0.0018911
13,43.6487,0.94005,1.08959,1.05389,0.99474,1,0.995,0.74718,0.9828,1.03977,1.05618,0.0018812,0.0018812,0.0018812
14,46.1156,0.84609,0.88239,0.99092,0.94527,1,0.99237,0.74302,1.03075,0.99238,1.05025,0.0018713,0.0018713,0.0018713
15,48.4941,0.89662,0.94962,1.0107,0.00109,0.63889,0.00095,0.00045,1.7737,4.60681,1.71198,0.0018614,0.0018614,0.0018614
16,50.8744,0.87891,0.90841,1.0116,0.43989,0.15326,0.15128,0.11498,1.89023,4.32305,2.00293,0.0018515,0.0018515,0.0018515
17,53.3121,0.83366,0.84811,1.00304,0.98714,0.22222,0.22566,0.16918,1.98938,5.01999,2.55352,0.0018416,0.0018416,0.0018416
18,55.6812,0.74131,0.71103,0.94051,0.41621,0.07973,0.08595,0.06891,2.17801,4.13358,2.24296,0.0018317,0.0018317,0.0018317
19,58.0501,0.81503,0.78144,0.97013,0.00044,0.25,0.00051,0.00015,2.62124,4.77158,3.34215,0.0018218,0.0018218,0.0018218
20,60.4378,0.79696,0.7272,0.95625,0.62331,0.30556,0.34375,0.13475,1.98844,3.96001,1.83621,0.0018119,0.0018119,0.0018119
21,62.6574,0.83112,0.68835,0.97206,0.88396,0.66667,0.69674,0.31476,1.53105,2.61114,1.50656,0.001802,0.001802,0.001802
22,65.0819,0.86586,0.70324,1.00728,0.97055,0.91546,0.96686,0.8025,0.69084,0.91801,0.9434,0.0017921,0.0017921,0.0017921
23,67.5394,0.82932,0.7138,0.96643,0.54966,0.47472,0.52812,0.35709,1.16846,2.09382,1.17814,0.0017822,0.0017822,0.0017822
24,69.6849,0.76561,0.64838,0.946,1,0.77734,0.89821,0.75857,0.76824,1.19462,0.96066,0.0017723,0.0017723,0.0017723
25,71.7429,0.83632,0.6694,0.97991,0.99961,0.91667,0.95614,0.79002,0.7605,0.81426,0.94929,0.0017624,0.0017624,0.0017624
26,73.833,0.82191,0.63035,0.984,0.88706,0.65479,0.79618,0.54227,1.2168,1.45595,1.07362,0.0017525,0.0017525,0.0017525
27,76.1995,0.73518,0.61614,0.95916,0.99997,0.91667,0.97877,0.8272,0.70262,0.9284,0.91258,0.0017426,0.0017426,0.0017426
28,78.7142,0.76569,0.6237,0.9444,0.92045,0.97222,0.993,0.86973,0.57698,0.66185,0.87377,0.0017327,0.0017327,0.0017327
29,81.1264,0.70468,0.54013,0.91344,1,0.99808,0.995,0.8954,0.49661,0.51091,0.86001,0.0017228,0.0017228,0.0017228
30,83.4724,0.68208,0.52943,0.917,0.97627,0.86111,0.9274,0.77158,0.73492,0.83772,0.92804,0.0017129,0.0017129,0.0017129
31,85.6232,0.70187,0.50837,0.91979,0.9691,0.66667,0.82069,0.66121,0.90253,1.33587,0.98798,0.001703,0.001703,0.001703
32,87.8521,0.73289,0.56412,0.93643,0.9949,1,0.995,0.83569,0.64263,0.48852,0.88825,0.0016931,0.0016931,0.0016931
33,89.9809,0.74044,0.52604,0.91933,0.99731,1,0.995,0.82853,0.74075,0.49824,0.91688,0.0016832,0.0016832,0.0016832
34,92.2623,0.74887,0.51124,0.92942,0.99614,1,0.995,0.82216,0.74381,0.48293,0.93891,0.0016733,0.0016733,0.0016733
35,94.3694,0.70995,0.51402,0.9389,0.99696,1,0.995,0.76632,0.82531,0.70846,0.97217,0.0016634,0.0016634,0.0016634
36,96.3581,0.74785,0.52935,0.93364,1,0.99812,0.995,0.84957,0.63729,0.61841,0.89789,0.0016535,0.0016535,0.0016535
37,98.3677,0.72455,0.54477,0.93023,0.93681,0.97222,0.9886,0.79533,0.75962,0.6216,0.93044,0.0016436,0.0016436,0.0016436
38,100.703,0.70851,0.5372,0.91189,0.87799,0.83333,0.84038,0.69552,0.70835,0.86978,0.92798,0.0016337,0.0016337,0.0016337
39,103.108,0.73443,0.54192,0.93525,0.98531,1,0.995,0.8675,0.63252,0.59507,0.90434,0.0016238,0.0016238,0.0016238
40,105.452,0.65876,0.50164,0.93963,0.99617,1,0.995,0.8428,0.65173,0.4865,0.89386,0.0016139,0.0016139,0.0016139
41,107.877,0.66436,0.48501,0.88071,0.99725,1,0.995,0.87936,0.55351,0.45325,0.87744,0.001604,0.001604,0.001604
42,110.324,0.73727,0.52192,0.93944,0.99823,1,0.995,0.76353,0.88373,0.49186,0.99583,0.0015941,0.0015941,0.0015941
43,112.612,0.70734,0.4955,0.95256,0.99816,1,0.995,0.85709,0.58712,0.43057,0.89049,0.0015842,0.0015842,0.0015842
44,114.944,0.69172,0.50609,0.90953,0.9981,1,0.995,0.77888,0.9511,0.44232,0.98235,0.0015743,0.0015743,0.0015743
45,117.145,0.683,0.49676,0.91902,0.99481,1,0.995,0.72183,1.10561,0.53643,1.05648,0.0015644,0.0015644,0.0015644
46,119.444,0.6823,0.49408,0.90622,0.99543,1,0.995,0.76426,0.985,0.59402,1.02672,0.0015545,0.0015545,0.0015545
