epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2995,0.85255,4.11453,0.99,0.0015,1,0.34057,0.18867,0.88715,4.25595,0.93827,0.00026,0.00026,0.00026
2,19.7074,0.87151,2.20782,1.01362,0.0015,1,0.32342,0.18704,1.03602,4.19463,1.05693,0.000537327,0.000537327,0.000537327
3,21.59,0.89247,2.2943,1.07636,0.0015,1,0.06309,0.03006,1.1929,4.3712,1.18579,0.000811882,0.000811882,0.000811882
4,23.4799,0.88837,1.90903,1.02869,0.0015,1,0.06636,0.05895,0.92977,4.17391,0.9882,0.00108366,0.00108366,0.00108366
5,25.3586,0.87385,1.95838,1.02536,0.0015,1,0.9332,0.69946,0.93043,3.8666,0.96959,0.00135268,0.00135268,0.00135268
6,27.3187,0.88917,1.87077,1.0496,1,0.35036,0.81461,0.57511,0.97256,3.54197,1.01824,0.00161892,0.00161892,0.00161892
7,29.1112,0.86732,1.61418,1.02025,0.02627,0.22222,0.02656,0.01949,1.08961,4.10429,1.0734,0.00188238,0.00188238,0.00188238
8,30.9969,0.88164,1.53671,1.05117,0.00856,0.38889,0.00922,0.00396,1.84533,7.33493,1.45443,0.0019307,0.0019307,0.0019307
9,32.7518,0.84222,1.40087,1.02494,0.12188,0.44444,0.10896,0.07186,1.24037,2.74327,1.13978,0.0019208,0.0019208,0.0019208
10,34.5563,0.80526,1.30049,0.9773,0.23878,0.66667,0.22481,0.18076,0.79135,2.96036,0.96824,0.0019109,0.0019109,0.0019109
11,36.3444,0.93295,1.31835,1.09102,0.00815,0.22222,0.00616,0.00332,1.46014,20.1971,1.3689,0.001901,0.001901,0.001901
12,38.1433,0.9131,1.18295,1.05732,0.99179,0.83333,0.9472,0.70423,1.01625,1.55262,1.04155,0.0018911,0.0018911,0.0018911
13,40.0454,0.85613,1.19219,1.01272,0.13831,0.11111,0.04815,0.0335,1.983,12.0219,1.72571,0.0018812,0.0018812,0.0018812
14,41.8662,0.83728,1.05805,0.96691,0.09582,0.66667,0.10816,0.07712,1.08135,39.8951,1.08955,0.0018713,0.0018713,0.0018713
15,43.8798,0.79774,0.95913,0.98091,0.00494,0.77778,0.00481,0.00288,1.07037,304.454,1.18811,0.0018614,0.0018614,0.0018614
16,45.7093,0.7904,0.99262,1.0031,0.08374,0.44444,0.11345,0.04985,1.49696,11.7452,1.32273,0.0018515,0.0018515,0.0018515
17,47.474,0.85386,0.91474,1.01935,0.8828,0.61111,0.66671,0.54911,0.99232,2.24081,1.07129,0.0018416,0.0018416,0.0018416
18,49.2473,0.75735,0.90521,0.97821,1,0.83266,0.9064,0.58461,1.21518,1.53466,1.14376,0.0018317,0.0018317,0.0018317
19,51.0327,0.83175,0.82672,1.00051,1,0.88324,0.94816,0.79032,0.80534,0.99656,0.95354,0.0018218,0.0018218,0.0018218
20,52.9261,0.78277,0.78182,1.00406,0.94669,1,0.98921,0.71831,0.99062,0.89514,1.02128,0.0018119,0.0018119,0.0018119
21,54.7439,0.78738,0.78258,1.00849,1,0.90711,0.94895,0.70922,0.89805,1.07654,1.00913,0.001802,0.001802,0.001802
22,56.5962,0.70795,0.74627,0.97939,1,0.9956,0.995,0.81446,0.73506,0.74113,0.93037,0.0017921,0.0017921,0.0017921
23,58.6696,0.77718,0.72479,1.00258,0.99332,1,0.995,0.78777,0.74973,0.82038,0.95242,0.0017822,0.0017822,0.0017822
24,60.5494,0.69465,0.67828,0.95691,0.99629,1,0.995,0.72633,1.05319,0.66517,1.08822,0.0017723,0.0017723,0.0017723
25,62.349,0.73411,0.69962,0.95201,0.99562,1,0.995,0.69541,1.1559,0.77241,1.14278,0.0017624,0.0017624,0.0017624
26,64.2964,0.83258,0.74043,1.02477,1,0.98454,0.995,0.77759,0.84337,0.74466,0.97764,0.0017525,0.0017525,0.0017525
27,66.4659,0.72423,0.64378,0.95032,0.99477,1,0.995,0.76056,0.85279,0.73267,0.97326,0.0017426,0.0017426,0.0017426
28,68.5089,0.77037,0.70501,0.96782,1,0.996,0.995,0.78063,0.82627,0.70721,0.97111,0.0017327,0.0017327,0.0017327
29,70.569,0.70199,0.65376,0.94328,1,0.99242,0.995,0.86436,0.63196,0.72452,0.90423,0.0017228,0.0017228,0.0017228
30,72.805,0.76659,0.72034,1.00209,1,0.94242,0.99237,0.84152,0.70726,0.72478,0.92566,0.0017129,0.0017129,0.0017129
31,74.8019,0.71546,0.6021,0.96739,0.99602,1,0.995,0.84695,0.61371,0.55161,0.89828,0.001703,0.001703,0.001703
32,76.9098,0.70976,0.58043,0.95933,0.99607,1,0.995,0.83603,0.7696,0.56452,0.9465,0.0016931,0.0016931,0.0016931
33,79.0196,0.69299,0.54093,0.93355,0.99552,1,0.995,0.79968,0.85364,0.56658,0.96242,0.0016832,0.0016832,0.0016832
34,81.1775,0.72699,0.56333,0.95864,0.99575,1,0.995,0.72024,0.99222,0.56719,1.03297,0.0016733,0.0016733,0.0016733
35,83.299,0.67214,0.57152,0.93166,0.99721,1,0.995,0.82347,0.69867,0.47981,0.92221,0.0016634,0.0016634,0.0016634
36,85.5271,0.70936,0.57331,0.94728,1,0.88107,0.95665,0.74527,0.69983,0.65833,0.93565,0.0016535,0.0016535,0.0016535
37,87.648,0.685,0.57625,0.94823,0.89014,0.5,0.53602,0.37388,1.50274,2.36481,1.2459,0.0016436,0.0016436,0.0016436
38,89.8907,0.72167,0.55004,0.95888,0.87933,0.22222,0.22624,0.15762,2.25592,5.18543,1.74191,0.0016337,0.0016337,0.0016337
39,91.969,0.68972,0.484,0.95374,0.89217,0.88889,0.97507,0.79029,0.75975,0.79315,0.95668,0.0016238,0.0016238,0.0016238
40,93.809,0.69638,0.5316,0.95306,0.99742,1,0.995,0.79867,0.75605,0.52294,0.92219,0.0016139,0.0016139,0.0016139
41,95.8092,0.71447,0.51415,0.94389,0.99652,1,0.995,0.82635,0.71873,0.52382,0.90629,0.001604,0.001604,0.001604
42,97.8657,0.72472,0.5245,0.96735,0.89232,0.9215,0.984,0.78001,0.83771,0.77556,0.96803,0.0015941,0.0015941,0.0015941
43,99.9884,0.73347,0.54274,0.94763,0.98909,0.88889,0.97083,0.83472,0.62156,0.57717,0.89751,0.0015842,0.0015842,0.0015842
44,102.161,0.67888,0.50443,0.93239,0.99697,1,0.995,0.82538,0.80295,0.52033,0.95759,0.0015743,0.0015743,0.0015743
45,104.205,0.6443,0.49247,0.92408,1,0.99197,0.995,0.78367,0.89639,0.76626,0.968,0.0015644,0.0015644,0.0015644
46,106.401,0.66159,0.49149,0.9151,0.99689,1,0.995,0.82284,0.7521,0.50023,0.91742,0.0015545,0.0015545,0.0015545
47,108.486,0.70774,0.49769,0.95021,0.99618,1,0.995,0.82062,0.73944,0.45206,0.92002,0.0015446,0.0015446,0.0015446
48,110.591,0.6794,0.47561,0.95399,0.99708,1,0.995,0.83863,0.75313,0.43107,0.91541,0.0015347,0.0015347,0.0015347
49,112.707,0.64167,0.45225,0.92641,0.99708,1,0.995,0.8552,0.63469,0.38475,0.88278,0.0015248,0.0015248,0.0015248
50,114.802,0.60502,0.43782,0.90449,0.99808,1,0.995,0.86601,0.63448,0.4412,0.88521,0.0015149,0.0015149,0.0015149
51,117.085,0.61747,0.4392,0.91131,0.99645,1,0.995,0.87131,0.60279,0.42088,0.88361,0.001505,0.001505,0.001505
52,119.364,0.63229,0.46993,0.95156,0.99694,1,0.995,0.86243,0.5591,0.42179,0.87468,0.0014951,0.0014951,0.0014951
53,121.427,0.62531,0.47125,0.92026,0.99657,1,0.995,0.84109,0.68223,0.41162,0.91871,0.0014852,0.0014852,0.0014852
54,123.572,0.59851,0.43252,0.89747,0.99597,1,0.995,0.88172,0.62899,0.40449,0.89316,0.0014753,0.0014753,0.0014753
55,125.662,0.67014,0.4625,0.93597,0.99672,1,0.995,0.83104,0.77539,0.43524,0.92779,0.0014654,0.0014654,0.0014654
56,127.504,0.6254,0.44959,0.89142,0.99666,1,0.995,0.85476,0.67293,0.40204,0.904,0.0014555,0.0014555,0.0014555
57,129.366,0.63525,0.45251,0.92871,0.99618,1,0.995,0.83033,0.72696,0.39845,0.92376,0.0014456,0.0014456,0.0014456
58,131.23,0.61366,0.44421,0.90622,0.99654,1,0.995,0.86623,0.57422,0.36781,0.86647,0.0014357,0.0014357,0.0014357
59,133.009,0.60212,0.44105,0.89666,0.99673,1,0.995,0.88345,0.50275,0.38139,0.85391,0.0014258,0.0014258,0.0014258
60,134.978,0.65296,0.46502,0.9203,0.99604,1,0.995,0.87436,0.53935,0.39667,0.8637,0.0014159,0.0014159,0.0014159
61,136.698,0.62052,0.44147,0.93531,0.99453,1,0.995,0.82066,0.74998,0.42074,0.93818,0.001406,0.001406,0.001406
62,138.486,0.66443,0.4617,0.9125,0.99643,1,0.995,0.83083,0.67576,0.39872,0.91752,0.0013961,0.0013961,0.0013961
63,140.283,0.66836,0.45131,0.95116,0.99526,1,0.995,0.7313,0.95508,0.42664,1.02557,0.0013862,0.0013862,0.0013862
64,142.136,0.62779,0.46501,0.89021,0.99467,1,0.995,0.79132,0.73584,0.46067,0.93358,0.0013763,0.0013763,0.0013763
65,143.923,0.61551,0.42173,0.9321,0.99514,1,0.995,0.84692,0.73193,0.42229,0.91944,0.0013664,0.0013664,0.0013664
66,145.767,0.62907,0.44077,0.91772,0.99424,1,0.995,0.86163,0.64366,0.43772,0.88268,0.0013565,0.0013565,0.0013565
67,147.628,0.57686,0.43063,0.88868,1,0.88206,0.9808,0.80882,0.69544,2.61273,0.90818,0.0013466,0.0013466,0.0013466
68,149.485,0.58245,0.41188,0.89479,0.99424,0.94444,0.97833,0.81067,0.64805,0.94862,0.91343,0.0013367,0.0013367,0.0013367
69,151.522,0.60471,0.40996,0.90344,0.99621,1,0.995,0.85483,0.59152,0.38379,0.88232,0.0013268,0.0013268,0.0013268
70,153.638,0.63768,0.41599,0.9342,0.99695,1,0.995,0.8174,0.70777,0.411,0.92778,0.0013169,0.0013169,0.0013169
71,155.732,0.59016,0.4243,0.8985,0.9963,1,0.995,0.86046,0.56485,0.40065,0.88878,0.001307,0.001307,0.001307
72,157.939,0.64126,0.42019,0.92109,0.99633,1,0.995,0.83546,0.65282,0.39708,0.91135,0.0012971,0.0012971,0.0012971
73,159.98,0.58166,0.41049,0.90188,0.99694,1,0.995,0.81781,0.72362,0.38008,0.93294,0.0012872,0.0012872,0.0012872
74,162.171,0.58123,0.39877,0.89475,0.99702,1,0.995,0.8336,0.63825,0.40186,0.8893,0.0012773,0.0012773,0.0012773
75,164.195,0.62281,0.41461,0.92794,0.99691,1,0.995,0.83544,0.70708,0.39469,0.90792,0.0012674,0.0012674,0.0012674
76,166.229,0.60542,0.39777,0.88546,0.99695,1,0.995,0.8553,0.57958,0.38543,0.87179,0.0012575,0.0012575,0.0012575
77,168.247,0.62971,0.43384,0.9353,0.99674,1,0.995,0.86066,0.55746,0.35918,0.86507,0.0012476,0.0012476,0.0012476
78,170.354,0.58105,0.40496,0.91267,0.99687,1,0.995,0.84101,0.66552,0.34387,0.88921,0.0012377,0.0012377,0.0012377
79,172.372,0.59673,0.39238,0.91032,0.99703,1,0.995,0.86323,0.60164,0.35128,0.87418,0.0012278,0.0012278,0.0012278
80,174.461,0.62892,0.39827,0.91594,0.9968,1,0.995,0.80875,0.72471,0.3939,0.90854,0.0012179,0.0012179,0.0012179
81,176.461,0.63498,0.43961,0.9284,0.99669,1,0.995,0.82724,0.59795,0.36104,0.87911,0.001208,0.001208,0.001208
82,178.55,0.58881,0.41855,0.91323,0.99638,1,0.995,0.84948,0.60498,0.35947,0.88181,0.0011981,0.0011981,0.0011981
83,180.507,0.56997,0.36962,0.88769,0.9969,1,0.995,0.85206,0.5994,0.33519,0.88284,0.0011882,0.0011882,0.0011882
84,182.614,0.50663,0.36351,0.86084,0.99693,1,0.995,0.85895,0.61668,0.35649,0.88647,0.0011783,0.0011783,0.0011783
85,184.634,0.53844,0.37348,0.89919,0.99697,1,0.995,0.86722,0.59836,0.34009,0.87882,0.0011684,0.0011684,0.0011684
86,186.684,0.60704,0.38093,0.9147,0.99693,1,0.995,0.88298,0.60528,0.35289,0.88462,0.0011585,0.0011585,0.0011585
87,188.666,0.57665,0.36829,0.86818,0.99696,1,0.995,0.85452,0.63385,0.34588,0.89163,0.0011486,0.0011486,0.0011486
88,190.694,0.56723,0.3588,0.89883,0.99698,1,0.995,0.84686,0.67742,0.35685,0.9048,0.0011387,0.0011387,0.0011387
89,192.738,0.58044,0.4209,0.88181,0.99701,1,0.995,0.8334,0.57802,0.35534,0.88598,0.0011288,0.0011288,0.0011288
90,194.767,0.62661,0.40821,0.89803,0.99654,1,0.995,0.84602,0.59405,0.34825,0.88093,0.0011189,0.0011189,0.0011189
91,196.852,0.58226,0.4008,0.89792,0.99691,1,0.995,0.80572,0.74347,0.37875,0.92879,0.001109,0.001109,0.001109
92,198.944,0.60776,0.37093,0.89087,0.9968,1,0.995,0.86781,0.5385,0.36677,0.85836,0.0010991,0.0010991,0.0010991
93,200.905,0.5756,0.36788,0.888,0.99692,1,0.995,0.85073,0.54849,0.36714,0.86184,0.0010892,0.0010892,0.0010892
94,203.049,0.56171,0.37893,0.88253,0.99668,1,0.995,0.87063,0.56477,0.34413,0.86829,0.0010793,0.0010793,0.0010793
95,205.097,0.58163,0.37244,0.92792,0.99681,1,0.995,0.88748,0.48499,0.3131,0.85089,0.0010694,0.0010694,0.0010694
96,207.309,0.5467,0.34126,0.89866,0.99695,1,0.995,0.86405,0.61482,0.34984,0.88458,0.0010595,0.0010595,0.0010595
97,209.402,0.59174,0.40473,0.89439,0.99667,1,0.995,0.80749,0.7314,0.39273,0.93105,0.0010496,0.0010496,0.0010496
98,211.474,0.56418,0.38671,0.90528,0.99599,1,0.995,0.84131,0.6402,0.37864,0.89236,0.0010397,0.0010397,0.0010397
99,213.485,0.56659,0.39291,0.88417,0.99502,1,0.995,0.84137,0.61734,0.35912,0.88729,0.0010298,0.0010298,0.0010298
100,215.551,0.54435,0.35278,0.88669,0.99676,1,0.995,0.86644,0.61184,0.36926,0.88439,0.0010199,0.0010199,0.0010199
101,217.576,0.56982,0.3715,0.88457,0.9969,1,0.995,0.85773,0.64781,0.36389,0.89459,0.00101,0.00101,0.00101
102,219.503,0.56667,0.35471,0.88572,0.99689,1,0.995,0.87596,0.53833,0.31987,0.85499,0.0010001,0.0010001,0.0010001
103,221.53,0.51753,0.35449,0.87531,0.99664,1,0.995,0.87752,0.5377,0.31502,0.85517,0.0009902,0.0009902,0.0009902
104,223.697,0.57577,0.36143,0.91726,0.99629,1,0.995,0.88607,0.56082,0.35324,0.86644,0.0009803,0.0009803,0.0009803
105,225.622,0.53561,0.33984,0.8774,0.99679,1,0.995,0.87285,0.58197,0.35777,0.87174,0.0009704,0.0009704,0.0009704
106,227.768,0.58059,0.36674,0.91344,0.99689,1,0.995,0.84972,0.60303,0.33708,0.88188,0.0009605,0.0009605,0.0009605
107,229.861,0.59268,0.37773,0.90504,0.99679,1,0.995,0.85256,0.5591,0.33446,0.8658,0.0009506,0.0009506,0.0009506
108,232.111,0.53128,0.33976,0.85951,0.99691,1,0.995,0.88718,0.52294,0.32786,0.85235,0.0009407,0.0009407,0.0009407
109,234.317,0.51203,0.34427,0.86928,0.99686,1,0.995,0.87878,0.52057,0.29936,0.84815,0.0009308,0.0009308,0.0009308
110,236.437,0.54246,0.33977,0.89209,0.99704,1,0.995,0.89647,0.48626,0.30364,0.84934,0.0009209,0.0009209,0.0009209
111,238.64,0.5176,0.34936,0.87265,0.99676,1,0.995,0.86787,0.52825,0.32503,0.86151,0.000911,0.000911,0.000911
112,240.626,0.59226,0.37079,0.89181,0.99644,1,0.995,0.8693,0.52365,0.30731,0.85665,0.0009011,0.0009011,0.0009011
113,242.652,0.5542,0.35798,0.88423,0.99607,1,0.995,0.8843,0.53551,0.29877,0.85822,0.0008912,0.0008912,0.0008912
114,244.778,0.54815,0.35266,0.87419,0.99656,1,0.995,0.87007,0.63531,0.32873,0.88155,0.0008813,0.0008813,0.0008813
115,246.836,0.55821,0.35203,0.88351,0.99676,1,0.995,0.88735,0.55817,0.31428,0.86213,0.0008714,0.0008714,0.0008714
116,249.021,0.52596,0.35144,0.83825,0.99688,1,0.995,0.86518,0.57007,0.32239,0.8724,0.0008615,0.0008615,0.0008615
117,251.084,0.50751,0.33002,0.86329,0.99683,1,0.995,0.86822,0.61032,0.3274,0.88361,0.0008516,0.0008516,0.0008516
118,253.139,0.51557,0.32586,0.86479,0.99689,1,0.995,0.88864,0.61536,0.32838,0.87732,0.0008417,0.0008417,0.0008417
119,255.239,0.5189,0.32921,0.89485,0.99696,1,0.995,0.88872,0.55109,0.32227,0.86456,0.0008318,0.0008318,0.0008318
120,257.238,0.53943,0.3428,0.86217,0.99678,1,0.995,0.87107,0.54614,0.29441,0.8605,0.0008219,0.0008219,0.0008219
121,259.309,0.52838,0.35339,0.86572,0.99591,1,0.995,0.85478,0.65341,0.32485,0.88352,0.000812,0.000812,0.000812
122,261.382,0.48884,0.33716,0.88204,0.99517,1,0.995,0.87727,0.56647,0.31488,0.86661,0.0008021,0.0008021,0.0008021
123,263.485,0.5389,0.33163,0.88455,0.99575,1,0.995,0.85783,0.57333,0.29547,0.87098,0.0007922,0.0007922,0.0007922
124,265.548,0.53615,0.34412,0.87232,0.99604,1,0.995,0.86104,0.55447,0.29727,0.8617,0.0007823,0.0007823,0.0007823
125,267.684,0.50962,0.32396,0.8767,0.9958,1,0.995,0.8738,0.54339,0.31762,0.86214,0.0007724,0.0007724,0.0007724
126,269.795,0.53764,0.32199,0.89413,0.99576,1,0.995,0.8467,0.6074,0.30533,0.88135,0.0007625,0.0007625,0.0007625
127,271.917,0.53905,0.33531,0.88755,0.99639,1,0.995,0.88033,0.55702,0.32103,0.86612,0.0007526,0.0007526,0.0007526
128,274.057,0.55073,0.33741,0.89954,0.99685,1,0.995,0.88864,0.51424,0.31761,0.85407,0.0007427,0.0007427,0.0007427
129,276.14,0.51668,0.3219,0.87707,0.99658,1,0.995,0.89149,0.53228,0.2932,0.86304,0.0007328,0.0007328,0.0007328
130,278.373,0.55185,0.34856,0.92165,0.99613,1,0.995,0.88735,0.49357,0.27382,0.84666,0.0007229,0.0007229,0.0007229
131,280.485,0.52468,0.31931,0.87141,0.99657,1,0.995,0.88642,0.50719,0.27151,0.84921,0.000713,0.000713,0.000713
132,282.557,0.54019,0.33768,0.89845,0.99682,1,0.995,0.85313,0.57721,0.27092,0.86988,0.0007031,0.0007031,0.0007031
133,284.699,0.53464,0.34449,0.8936,0.99684,1,0.995,0.86854,0.53808,0.29403,0.86215,0.0006932,0.0006932,0.0006932
134,286.806,0.52979,0.32814,0.90106,0.99517,1,0.995,0.85245,0.61218,0.32173,0.8789,0.0006833,0.0006833,0.0006833
135,288.93,0.54197,0.34227,0.88827,0.99407,1,0.995,0.85645,0.58227,0.32747,0.86839,0.0006734,0.0006734,0.0006734
136,291.121,0.53241,0.32817,0.88336,0.9958,1,0.995,0.87606,0.5595,0.30337,0.85824,0.0006635,0.0006635,0.0006635
137,293.258,0.53683,0.32029,0.8748,0.99691,1,0.995,0.87283,0.56458,0.30206,0.85741,0.0006536,0.0006536,0.0006536
138,295.491,0.51901,0.32552,0.88627,0.99703,1,0.995,0.87398,0.53649,0.29217,0.84869,0.0006437,0.0006437,0.0006437
139,297.605,0.52834,0.32775,0.91217,0.99701,1,0.995,0.87096,0.54661,0.27683,0.85583,0.0006338,0.0006338,0.0006338
140,299.523,0.49389,0.3205,0.85547,0.99662,1,0.995,0.88925,0.53478,0.29085,0.85154,0.0006239,0.0006239,0.0006239
141,301.656,0.50468,0.31039,0.85493,0.99646,1,0.995,0.87925,0.52323,0.30315,0.84714,0.000614,0.000614,0.000614
142,303.836,0.56828,0.35519,0.87857,0.99583,1,0.995,0.88063,0.564,0.33079,0.86331,0.0006041,0.0006041,0.0006041
143,305.848,0.50578,0.31792,0.85123,0.99534,1,0.995,0.874,0.57159,0.30272,0.86422,0.0005942,0.0005942,0.0005942
144,307.988,0.51536,0.32183,0.88277,0.99623,1,0.995,0.891,0.52216,0.27533,0.85268,0.0005843,0.0005843,0.0005843
145,310.199,0.50279,0.31912,0.8999,0.99676,1,0.995,0.87617,0.55101,0.29173,0.85645,0.0005744,0.0005744,0.0005744
146,312.473,0.43901,0.29744,0.86493,0.99688,1,0.995,0.8843,0.55652,0.29734,0.8513,0.0005645,0.0005645,0.0005645
147,314.633,0.46704,0.29038,0.86577,0.99695,1,0.995,0.86806,0.58619,0.30277,0.85969,0.0005546,0.0005546,0.0005546
148,316.798,0.50355,0.3066,0.86945,0.99705,1,0.995,0.87394,0.58035,0.2952,0.86062,0.0005447,0.0005447,0.0005447
149,318.886,0.47988,0.31265,0.84643,0.99705,1,0.995,0.86951,0.57934,0.2991,0.8613,0.0005348,0.0005348,0.0005348
150,321.005,0.53742,0.34166,0.88177,0.99684,1,0.995,0.88924,0.50957,0.29917,0.84667,0.0005249,0.0005249,0.0005249
151,323.157,0.5096,0.3144,0.87033,0.9963,1,0.995,0.8727,0.54161,0.28924,0.85667,0.000515,0.000515,0.000515
152,325.245,0.52657,0.33937,0.88872,0.99371,1,0.995,0.84854,0.58242,0.29669,0.87641,0.0005051,0.0005051,0.0005051
153,327.386,0.53827,0.33157,0.86063,0.99275,1,0.995,0.86725,0.562,0.29247,0.86262,0.0004952,0.0004952,0.0004952
