epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9791,2.1707,16.7657,1.53089,0.00093,0.38889,0.00493,0.00344,1.22395,10.287,1.01579,0.00012861,0.00012861,0.00012861
2,193.328,1.60121,10.2663,1.19598,0.41194,0.5,0.54775,0.37942,1.06518,7.17752,1.00142,0.000269718,0.000269718,0.000269718
3,289.282,1.37319,4.09429,1.04355,0.73011,0.82265,0.87111,0.46602,1.59147,9.76264,1.16945,0.00040894,0.00040894,0.00040894
4,384.483,1.33202,2.71989,1.03926,0.66135,0.16667,0.21176,0.11524,2.14416,6.31898,1.87363,0.000546275,0.000546275,0.000546275
5,479.259,1.39152,1.7239,1.0698,0.69791,0.05556,0.06244,0.04841,3.32041,8.04828,5.91337,0.000681724,0.000681724,0.000681724
6,573.367,1.23927,1.82185,0.97391,0.00195,0.05556,0.00111,0.00068,nan,nan,nan,0.000815287,0.000815287,0.000815287
7,667.536,1.25065,1.42371,1.03829,0.44574,0.11111,0.11153,0.08351,nan,nan,nan,0.000946964,0.000946964,0.000946964
8,761.776,1.26585,1.15014,1.02109,0.33333,0.10708,0.11167,0.06408,nan,nan,nan,0.00107675,0.00107675,0.00107675
9,855.834,1.36541,1.221,1.05769,0,0,0,0,2.61638,6.31001,3.72267,0.00120466,0.00120466,0.00120466
10,949.781,1.36853,1.10847,1.07005,0.96292,0.05556,0.07389,0.04983,1.76033,3.24,1.7875,0.00133068,0.00133068,0.00133068
11,1043.65,1.45112,1.20275,1.05421,0.44083,0.16667,0.16667,0.1165,2.2308,3.09353,3.15817,0.00133469,0.00133469,0.00133469
