epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9028,1.69226,2.66254,1.27718,0.58139,0.76926,0.70044,0.39633,1.38166,2.47989,1.08115,0.000471156,0.000471156,0.000471156
2,54.2969,1.49631,1.01271,1.24894,0.31954,0.45946,0.31593,0.20093,2.03124,51.4334,1.70812,0.000941236,0.000941236,0.000941236
3,72.853,1.42827,0.89784,1.21105,0.78129,0.59361,0.75521,0.39963,1.55245,1.46318,1.31356,0.00140503,0.00140503,0.00140503
4,91.6747,1.4423,0.8752,1.23595,0.8519,0.55216,0.62846,0.36959,1.58804,1.81908,1.40894,0.00140071,0.00140071,0.00140071
5,110.052,1.30694,0.77094,1.16772,0.76595,0.88112,0.74659,0.44527,1.39044,1.14422,1.25705,0.00139127,0.00139127,0.00139127
6,128.683,1.30388,0.7363,1.15884,0.78698,0.88889,0.86581,0.53191,1.31726,1.22332,1.26934,0.00138184,0.00138184,0.00138184
7,147.675,1.23929,0.67669,1.12419,0.75996,0.82099,0.88488,0.50614,1.44987,0.99452,1.35953,0.00137241,0.00137241,0.00137241
8,166.49,1.22225,0.67367,1.11529,0.78358,0.71408,0.86653,0.38943,1.83186,1.4934,1.66252,0.00136298,0.00136298,0.00136298
9,185.403,1.18073,0.64064,1.09099,0.92177,1,0.98738,0.57608,1.3906,0.69857,1.2698,0.00135355,0.00135355,0.00135355
10,204.364,1.15468,0.62441,1.08539,0.8719,0.77778,0.86434,0.51058,1.50859,0.99292,1.38109,0.00134412,0.00134412,0.00134412
11,223.133,1.13061,0.60036,1.07516,0.90348,0.94444,0.95786,0.60368,1.43894,0.81286,1.31847,0.00133469,0.00133469,0.00133469
12,242.26,1.10933,0.57382,1.05543,0.97763,1,0.995,0.55437,1.49506,0.73843,1.3407,0.00132525,0.00132525,0.00132525
13,260.702,1.09085,0.55416,1.05052,0.87355,1,0.96357,0.50028,1.59552,0.85574,1.42946,0.00131582,0.00131582,0.00131582
14,279.244,1.09399,0.55998,1.04728,0.84385,0.88889,0.9257,0.49862,1.64918,0.80024,1.40205,0.00130639,0.00130639,0.00130639
15,298.188,1.0529,0.5318,1.03147,0.96183,0.96776,0.995,0.65546,1.27989,0.62934,1.22529,0.00129696,0.00129696,0.00129696
16,317.236,1.03779,0.53494,1.02545,0.92562,0.94444,0.97222,0.59289,1.42112,0.75502,1.33313,0.00128753,0.00128753,0.00128753
17,335.796,1.01705,0.52741,1.00914,0.96147,0.94269,0.98167,0.70074,1.17812,0.60558,1.25318,0.0012781,0.0012781,0.0012781
18,354.592,1.006,0.49806,1.01225,0.90941,0.88889,0.89667,0.55771,1.35979,0.79877,1.28488,0.00126867,0.00126867,0.00126867
19,373.024,1.02179,0.52456,1.01839,0.95122,0.88889,0.96314,0.67194,1.22265,0.61446,1.28617,0.00125923,0.00125923,0.00125923
20,391.548,0.99857,0.49447,0.99942,0.98862,0.94428,0.995,0.65423,1.22741,0.61848,1.23127,0.0012498,0.0012498,0.0012498
21,410.06,0.98541,0.4919,0.99656,0.88955,0.99362,0.97222,0.65568,1.24892,0.62001,1.241,0.00124037,0.00124037,0.00124037
22,428.541,0.96198,0.48773,0.97905,0.97751,0.91341,0.96167,0.65777,1.25167,0.58632,1.24393,0.00123094,0.00123094,0.00123094
23,447.193,0.97561,0.48912,0.98604,0.94556,0.96245,0.995,0.62959,1.26497,0.64889,1.21626,0.00122151,0.00122151,0.00122151
24,465.718,0.94304,0.47264,0.9804,0.89159,0.88889,0.95071,0.64458,1.31618,0.63956,1.3914,0.00121208,0.00121208,0.00121208
25,484.316,0.95358,0.47352,0.98466,0.89606,0.97885,0.98167,0.5815,1.54842,0.75147,1.37278,0.00120265,0.00120265,0.00120265
26,502.9,0.94391,0.45925,0.98064,0.94754,0.94444,0.98167,0.67706,1.27388,0.62225,1.27964,0.00119322,0.00119322,0.00119322
27,521.661,0.93602,0.46057,0.98003,0.88716,0.87956,0.95866,0.6591,1.31976,0.68985,1.19923,0.00118378,0.00118378,0.00118378
28,540.672,0.92236,0.4545,0.9692,0.97433,0.96747,0.995,0.5887,1.53175,0.63442,1.3205,0.00117435,0.00117435,0.00117435
29,559.406,0.93655,0.45655,0.97215,0.98256,0.99307,0.995,0.64541,1.28204,0.64872,1.21946,0.00116492,0.00116492,0.00116492
30,577.942,0.92004,0.45552,0.96536,0.91511,0.94444,0.98738,0.70052,1.18746,0.52884,1.16133,0.00115549,0.00115549,0.00115549
31,596.444,0.92607,0.46421,0.9699,0.87817,0.93599,0.9385,0.58298,1.45856,0.73002,1.25433,0.00114606,0.00114606,0.00114606
32,614.973,0.87573,0.4361,0.94429,0.94727,1,0.995,0.64063,1.30711,0.58033,1.2737,0.00113663,0.00113663,0.00113663
