epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6346,1.9719,17.5643,1.37019,0.4057,0.62319,0.61634,0.40259,1.38448,6.58704,1.06578,0.00020006,0.00020006,0.00020006
2,19.9379,1.59179,6.88753,1.20401,0.65258,0.11111,0.13705,0.08971,1.39564,21.3789,1.16583,0.000413042,0.000413042,0.000413042
3,23.8392,1.49315,3.73814,1.22875,0.5384,0.91667,0.59793,0.3535,1.61763,18.9612,1.22993,0.00062461,0.00062461,0.00062461
4,27.7292,1.40887,2.54065,1.23491,0.59506,0.76389,0.52012,0.31384,1.32707,6.93794,1.08724,0.000834763,0.000834763,0.000834763
5,31.6425,1.38654,2.062,1.20759,0.01371,0.77778,0.01573,0.00895,1.41135,57.8082,1.22342,0.0010435,0.0010435,0.0010435
6,35.5545,1.42398,1.57412,1.24238,0.33966,0.11111,0.00215,0.00129,2.06637,72.7961,1.68494,0.00125083,0.00125083,0.00125083
7,39.418,1.35306,1.45127,1.21487,0.39868,0.69935,0.48555,0.28998,1.33856,3.09167,1.15369,0.00140071,0.00140071,0.00140071
8,43.3162,1.42368,1.31769,1.24459,0.60771,0.70113,0.48343,0.30628,1.51436,16.8594,1.27117,0.00139599,0.00139599,0.00139599
9,47.0752,1.3377,1.37095,1.22622,0.6587,0.33333,0.33546,0.22245,1.75953,3.20578,1.47494,0.00139127,0.00139127,0.00139127
10,50.9209,1.42921,1.40824,1.28273,0.95912,0.84593,0.88389,0.54321,1.46141,1.49347,1.233,0.00138656,0.00138656,0.00138656
11,55.1536,1.30294,1.09592,1.21159,0.72842,0.98088,0.96643,0.58665,1.40255,1.85161,1.21451,0.00138184,0.00138184,0.00138184
12,59.3324,1.33611,1.15194,1.20999,0.85642,0.80322,0.995,0.66612,1.18348,1.64038,1.09228,0.00137713,0.00137713,0.00137713
13,63.5372,1.35915,0.94097,1.22411,0.87326,0.88889,0.87278,0.55825,1.36462,1.48386,1.24636,0.00137241,0.00137241,0.00137241
14,67.4218,1.31753,0.96296,1.21366,0.79995,0.87876,0.885,0.5749,1.38752,1.26808,1.16559,0.0013677,0.0013677,0.0013677
