epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9302,1.77121,3.45955,1.33127,0.96049,1,0.995,0.64439,1.35945,2.09734,1.10569,0.000468394,0.000468394,0.000468394
2,38.4381,1.46522,1.12694,1.22215,0.92327,0.93631,0.9909,0.64151,1.30768,1.41782,1.12065,0.00094161,0.00094161,0.00094161
3,51.6931,1.40478,0.91528,1.23324,0.33439,0.02778,0.0004,0.00014,2.58268,22.8456,3.13046,0.00141168,0.00141168,0.00141168
4,64.8492,1.40401,0.8937,1.24502,0.33711,0.04167,0.00063,0.00031,2.84249,365.874,2.56845,0.00141485,0.00141485,0.00141485
5,78.0506,1.35666,0.81784,1.22108,0.86195,0.36111,0.36717,0.25639,2.18722,22.3236,2.63038,0.00141014,0.00141014,0.00141014
6,91.225,1.28238,0.76539,1.16409,0.98185,0.92062,0.98738,0.68005,1.28772,1.51687,1.13939,0.00140542,0.00140542,0.00140542
7,104.865,1.2258,0.71808,1.14422,0.91509,0.77778,0.775,0.4384,1.60977,2.26666,1.25952,0.00140071,0.00140071,0.00140071
8,117.926,1.17861,0.67627,1.12232,0.98441,1,0.995,0.69305,1.21316,0.67049,1.06866,0.00139599,0.00139599,0.00139599
9,131.212,1.16566,0.66396,1.10464,0.98254,1,0.995,0.67553,1.24122,0.62339,1.0842,0.00139127,0.00139127,0.00139127
10,144.065,1.13809,0.61074,1.09125,0.98668,1,0.995,0.66535,1.18489,0.61469,1.06019,0.00138656,0.00138656,0.00138656
11,157.092,1.12324,0.59641,1.08178,0.99037,1,0.995,0.63558,1.39061,0.58048,1.20877,0.00138184,0.00138184,0.00138184
12,170.056,1.09667,0.60482,1.07543,0.97572,0.83333,0.9479,0.57444,1.48753,6.23755,1.28236,0.00137713,0.00137713,0.00137713
13,182.897,1.03478,0.55696,1.05656,0.98674,1,0.995,0.73983,1.07823,0.48532,1.02166,0.00137241,0.00137241,0.00137241
14,196.43,1.06052,0.54507,1.06027,0.9762,1,0.995,0.71022,1.21055,0.51041,1.06623,0.0013677,0.0013677,0.0013677
15,209.659,1.04689,0.54713,1.046,0.97699,1,0.995,0.55091,1.62403,0.78393,1.40091,0.00136298,0.00136298,0.00136298
16,222.54,1.02597,0.52298,1.05022,0.982,1,0.995,0.61502,1.53174,0.5684,1.30113,0.00135826,0.00135826,0.00135826
17,235.42,0.99719,0.51847,1.0353,0.95033,1,0.995,0.69211,1.14126,0.53743,1.04065,0.00135355,0.00135355,0.00135355
18,248.471,1.0202,0.52589,1.04771,0.98433,1,0.995,0.7027,1.25646,0.52395,1.10277,0.00134883,0.00134883,0.00134883
19,261.393,1.00071,0.51874,1.02482,0.97036,1,0.995,0.71121,1.16948,0.49977,1.07668,0.00134412,0.00134412,0.00134412
20,274.433,0.97818,0.48957,1.01517,0.98894,1,0.995,0.68208,1.19765,0.46134,1.08705,0.0013394,0.0013394,0.0013394
21,288.021,0.94509,0.48036,0.99755,0.98714,1,0.995,0.67528,1.32453,0.50744,1.18127,0.00133469,0.00133469,0.00133469
22,301.392,0.93457,0.46451,0.99922,0.98828,1,0.995,0.73251,1.09746,0.43527,1.00641,0.00132997,0.00132997,0.00132997
23,314.776,0.95125,0.4688,1.004,0.98746,1,0.995,0.73027,1.13835,0.44148,1.04846,0.00132525,0.00132525,0.00132525
24,328.092,0.97012,0.48381,1.00007,0.989,1,0.995,0.72031,1.09424,0.42578,1.01691,0.00132054,0.00132054,0.00132054
25,341.512,0.92599,0.46634,0.99302,0.99043,1,0.995,0.68538,1.29304,0.48285,1.11779,0.00131582,0.00131582,0.00131582
26,355.231,0.91373,0.45436,0.98261,0.988,1,0.995,0.73521,1.12825,0.43976,1.06129,0.00131111,0.00131111,0.00131111
27,368.869,0.89049,0.44007,0.97868,0.98804,1,0.995,0.72319,1.08569,0.43932,0.99288,0.00130639,0.00130639,0.00130639
